,Close,sma_200,trend_above_sma,trip_count,timing_on,combined_invested,always_timing_invested,signal_score,combined_equity,always_timing_equity,buy_hold_equity,combined_growth_10k,always_timing_growth_10k,buy_hold_growth_10k,trend_level
2000-07-31,90.04464721679688,89.52376468658447,True,0,False,True,True,0.0,145.87491098152177,132.6188902642568,97.62381321647008,1458749.1098152176,1326188.902642568,976238.1321647008,89.52376468658447
2000-08-31,95.92820739746094,90.69703979492188,True,1,False,True,True,1.0,155.40644721534568,141.28427178420444,104.00259971715022,1554064.4721534569,1412842.7178420443,1040025.9971715022,90.69703979492188
2000-09-30,90.6653823852539,91.1091996383667,False,1,True,False,False,2.0,143.64692511952128,130.59336709132143,98.29679640886845,1436469.2511952128,1305933.6709132143,982967.9640886844,91.1091996383667
2000-10-31,90.24128723144531,90.83206436157226,False,0,False,True,False,0.0,145.74112078383214,131.2598260216546,97.83700465709738,1457411.2078383213,1312598.2602165458,978370.0465709738,90.83206436157226
2000-11-30,83.50448608398438,90.6578500366211,False,0,False,True,False,0.0,134.86107928785222,131.9079690989728,90.53315887365198,1348610.7928785223,1319079.690989728,905331.5887365198,90.6578500366211
2000-12-31,83.06804656982422,90.4261577987671,False,0,False,True,False,0.0,134.1562224989092,132.53565285352607,90.05998372190672,1341562.224989092,1325356.5285352608,900599.8372190672,90.4261577987671
2001-01-31,86.76121520996094,89.48006271362304,False,1,False,True,False,1.0,138.10772605901107,133.1566714335676,94.06401079787015,1381077.2605901107,1331566.714335676,940640.1079787016,89.48006271362304
2001-02-28,78.4852523803711,88.80205322265626,False,2,True,False,False,3.0,136.33427528749553,133.67114748374817,85.09145024669037,1363342.7528749553,1336711.4748374817,850914.5024669038,88.80205322265626
2001-03-31,74.08716583251953,87.14014991760254,False,2,True,False,False,3.0,136.90674668341393,134.23243633229836,80.32317147689758,1369067.4668341393,1342324.3633229837,803231.7147689759,87.14014991760254
2001-04-30,80.41716003417969,85.46758567810059,False,2,True,False,False,3.0,137.37989963213292,134.69634680130713,87.18596888579164,1373798.9963213291,1346963.4680130712,871859.6888579164,85.46758567810059
2001-05-31,79.96639251708984,84.17386615753173,False,4,True,False,False,5.0,137.85049073877366,135.15774547077348,86.69725972591806,1378504.9073877365,1351577.4547077348,866972.5972591806,84.17386615753173
2001-06-30,78.06083679199219,82.51940372467041,False,4,True,False,False,5.0,138.26223981496972,135.56145151882663,84.63131108898666,1382622.398149697,1355614.5151882663,846313.1108898666,82.51940372467041
2001-07-31,77.26496887207031,81.12105854034424,False,3,True,False,False,4.0,138.65875097961123,135.95021730979136,83.76845401129312,1386587.5097961123,1359502.1730979136,837684.5401129312,81.12105854034424
2001-08-31,72.68061828613281,79.65992427825928,False,3,True,False,False,4.0,139.0955975790671,136.37853063085822,78.79823313583289,1390955.9757906708,1363785.3063085822,787982.3313583289,79.65992427825928
2001-09-30,66.7476577758789,78.2854019355774,False,3,True,False,False,4.0,139.36948658176763,136.64706953787163,72.36588822054651,1393694.8658176763,1366470.6953787163,723658.8822054651,78.2854019355774
2001-10-31,67.61680603027344,76.59060831069947,False,3,True,False,False,4.0,139.7052141757958,136.9762390929308,73.30819372639344,1397052.1417579579,1369762.390929308,733081.9372639344,76.59060831069947
2001-11-30,72.88943481445312,75.2340107536316,False,3,True,False,False,4.0,139.96203801600316,137.22804618508937,79.02462600189824,1399620.3801600316,1372280.4618508937,790246.2600189825,75.2340107536316
2001-12-31,73.30047607421875,74.5505707359314,False,3,True,False,False,4.0,140.1695737123575,137.43152791862278,79.47026509770157,1401695.737123575,1374315.2791862278,794702.6509770157,74.5505707359314
2002-01-31,72.5821762084961,74.58142366409302,False,3,True,False,False,4.0,138.80476867331856,136.093382721641,78.69150507040207,1388047.6867331855,1360933.82721641,786915.0507040208,74.58142366409302
2002-02-28,71.28036499023438,73.85618822097778,False,3,True,False,False,4.0,138.97636196899737,136.26162414651768,77.28011883987242,1389763.6196899738,1362616.2414651767,772801.1883987242,73.85618822097778
2002-03-31,73.65190887451172,73.1778391456604,True,3,True,True,True,4.0,137.1246045902779,134.44603864424425,79.85127841847496,1371246.0459027789,1344460.3864424424,798512.7841847496,73.1778391456604
2002-04-30,69.36864471435547,72.45466119766235,False,3,True,False,False,4.0,131.98142974058283,129.40332959387123,75.20748677452376,1319814.2974058283,1294033.2959387123,752074.8677452375,72.45466119766235
2002-05-31,68.95703887939453,71.67468606948853,False,3,True,False,False,4.0,132.17915514949013,129.59719267224682,74.76123558255352,1321791.5514949013,1295971.926722468,747612.3558255353,71.67468606948853
2002-06-30,63.86745834350586,70.81000280380249,False,3,True,False,False,4.0,132.3592097881503,129.77373015784045,69.24325894603564,1323592.0978815032,1297737.3015784044,692432.5894603564,70.81000280380249
2002-07-31,58.833465576171875,69.87042484283447,False,2,True,False,False,3.0,132.55414002619574,129.96485266569013,63.78554896725077,1325541.4002619574,1299648.5266569012,637855.4896725077,69.87042484283447
