,Close,cash_return,sma_200,daily_return,trend_above_sma,always_timing_invested,buy_hold_invested,always_timing_return,buy_hold_return,always_timing_equity,buy_hold_equity,always_timing_growth_10k,buy_hold_growth_10k,trip_count,signal_score,timing_on,combined_invested,combined_return,combined_equity,combined_growth_10k
1961-01-05,0.9918075732965238,8.829996541415142e-05,0.9320508413673538,0.003711790729048481,True,True,True,0.003711790729048481,0.003711790729048481,1.0739237054105608,1.0752892067982696,10739.237054105608,10752.892067982695,2,3.0,True,True,0.003711790729048481,1.0739237054105608,10739.237054105608
1961-01-06,0.9890406661816854,8.829996541415142e-05,0.9324349416072911,-0.00278976203583714,True,True,True,-0.00278976203583714,-0.00278976203583714,1.0709277138278208,1.0722894057915984,10709.277138278208,10722.894057915984,2,3.0,True,True,-0.00278976203583714,1.0709277138278208,10709.277138278208
1961-01-09,0.9960968615196869,8.829996541437346e-05,0.9328165979372627,0.007134383427572111,True,True,True,0.007134383427572111,0.007134383427572111,1.0785681227614816,1.0799395295578391,10785.681227614816,10799.395295578392,2,3.0,True,True,0.007134383427572111,1.0785681227614816,10785.681227614816
1961-01-10,0.9989197754029638,8.829996541415142e-05,0.933191962699093,0.0028339752812494012,True,True,True,0.0028339752812494012,0.0028339752812494012,1.0816247581605312,1.0830000514898501,10816.247581605312,10830.000514898502,2,3.0,True,True,0.0028339752812494012,1.0816247581605312,10816.247581605312
1961-01-11,1.0019127000670685,8.829996541415142e-05,0.9335816868874498,0.002996161191120006,True,True,True,0.002996161191120006,0.002996161191120006,1.0848654802842863,1.086244894214105,10848.654802842862,10862.448942141049,2,3.0,True,True,0.002996161191120006,1.0848654802842863,10848.654802842862
1961-01-12,1.0050757576951506,8.829996541415142e-05,0.93399652548979,0.0031570191972518646,True,True,True,0.0031570191972518646,0.0031570191972518646,1.0882904214319797,1.0896741901980558,10882.904214319797,10896.741901980558,2,3.0,True,True,0.0031570191972518646,1.0882904214319797,10882.904214319797
1961-01-13,1.0099340119945535,8.829996541415142e-05,0.9344416553155273,0.0048337195104017905,True,True,True,0.0048337195104017905,0.0048337195104017905,1.0935509120750389,1.0949413695911974,10935.509120750388,10949.413695911973,2,3.0,True,True,0.0048337195104017905,1.0935509120750389,10935.509120750388
1961-01-16,1.0097092941644954,8.829996541415142e-05,0.934894965277846,-0.00022250743849516752,True,True,True,-0.00022250743849516752,-0.00022250743849516752,1.093307588862729,1.0946977369917472,10933.07588862729,10946.977369917473,3,4.0,True,True,-0.00022250743849516752,1.093307588862729,10933.07588862729
1961-01-17,1.0108403370116528,8.829996541415142e-05,0.9353797507326509,0.0011201668180080837,True,True,True,0.0011201668180080837,0.0011201668180080837,1.0945322757456495,1.095923981072474,10945.322757456495,10959.239810724739,3,4.0,True,True,0.0011201668180080837,1.0945322757456495,10945.322757456495
1961-01-18,1.0116326605891255,8.829996541415142e-05,0.935860466861631,0.0007838266326165577,True,True,True,0.0007838266326165577,0.0007838266326165577,1.0953901992936372,1.0967829954761616,10953.901992936373,10967.829954761617,3,4.0,True,True,0.0007838266326165577,1.0953901992936372,10953.901992936373
